,Unnamed: 0,fare_amount,passenger_count,trip_distance_km,pickup_hour,pickup_day_of_week,is_night
70614,45605402,14.5,1,3.8882014829851927,9,4,0
140106,54204817,4.1,1,1.1025628239970615,22,2,1
192100,7157048,6.1,1,2.5462129714763533,7,0,0
80182,19496903,7.0,1,2.0885664581995664,0,0,1
176396,45901510,19.0,1,2.5382827356168622,13,2,0
125555,41229090,6.5,1,2.5078290504040357,23,0,1
154388,51266405,8.1,1,2.6254250883392998,21,5,0
162351,45100032,4.5,5,0.8851918848334536,8,4,0
63180,44954706,5.0,1,1.0621390551282646,10,6,0
125217,20917772,7.7,5,1.7861987626369384,16,6,0
156051,42794197,6.1,1,1.7537651166841328,18,6,0
61714,51440821,11.3,2,5.081675764351209,2,2,1
108517,12264549,4.5,1,1.0153260308332939,1,5,1
153775,16133008,8.1,1,3.404104839629959,1,6,1
28200,34997759,9.3,1,2.953686670969356,20,4,0
116047,50887917,17.5,1,5.519859669115367,19,3,0
129299,51191082,4.9,1,1.2172928790199091,8,2,0
56852,40407218,8.1,2,2.749122031097727,10,2,0
135201,19804238,8.1,1,2.2834428142379237,19,1,0
101899,33842360,4.0,1,0.6378961028006332,11,5,0
62443,45903006,5.7,1,1.7390883705473041,13,3,0
164232,22919595,9.5,1,1.7574860558734757,19,3,0
109377,20258483,9.5,1,2.1019704207387404,2,5,1
112870,27336212,6.5,1,2.4570948949465476,2,6,1
172345,24195677,12.5,1,4.570493299192203,21,1,0
1332,24237802,4.1,2,0.7661057349435949,17,4,0
50378,39345337,13.0,1,5.3026038642095115,9,5,0
152294,40364761,8.5,4,2.4195126420047046,20,1,0
187925,40937721,6.1,1,1.4729584455245839,11,2,0
133881,1572113,10.5,4,3.808127632136416,17,2,0
111256,21841125,6.5,2,1.916642824177662,23,0,1
149574,7058444,8.5,1,3.448732525761162,5,5,1
113200,25429864,6.6,1,2.0003060724470063,5,6,1
159228,28337297,11.7,1,3.079019065227778,1,3,1
74019,17894416,8.0,6,1.9636117112596092,20,3,0
136065,6830144,4.1,1,0.4471599920997167,21,4,0
17907,48370631,4.5,2,0.6004204288105609,17,1,0
129683,40339411,6.5,1,1.9297485873248057,13,0,0
199833,45272399,6.0,5,1.218583069787169,13,3,0
18966,14935717,18.0,1,6.103568517842634,9,6,0
101998,42811055,12.5,1,3.3266930318309176,8,4,0
23497,4527814,4.1,1,0.5351560014363576,17,5,0
35826,21978543,13.0,1,4.227371499767083,8,3,0
40779,10407957,3.7,1,0.346238349930907,19,2,0
124366,52533067,5.5,5,0.9710309514821619,15,5,0
1914,2105684,7.3,2,1.8462876628558953,21,5,0
144373,43128616,10.0,6,2.0776947578854372,11,1,0
146540,26087010,6.1,1,0.7434345269554062,15,0,0
192772,49769237,14.5,2,1.785516514283031,16,3,0
40447,33900529,27.5,3,9.03504914358563,1,5,1
115832,52542170,8.1,2,2.27839737339054,8,6,0
5651,54939429,18.0,2,7.87032260779007,1,6,1
137307,14201065,4.5,1,0.8866801836402083,15,3,0
43145,34664181,9.5,1,1.2909158463909371,14,2,0
160014,18856553,10.0,5,2.1158383045971187,13,2,0
96869,29747428,12.5,1,3.8713799317756985,17,3,0
198106,44489435,7.0,1,1.5278238102235255,16,5,0
7698,23034439,9.0,1,1.8828748103513078,19,4,0
125766,38748675,35.5,1,13.786478003134095,14,4,0
46617,52746264,6.5,1,1.55791993565746,15,2,0
158250,44667115,28.5,1,14.374130502082489,0,5,1
46593,30562985,10.5,2,2.723971852091278,8,1,0
26345,31305570,7.5,1,1.964277386044313,6,2,0
50307,4246770,5.7,3,1.336661782958911,19,0,0
133057,43979089,70.0,2,19.045106961134614,15,0,0
112493,40716245,6.5,1,0.8752711823266578,7,0,0
196337,30976546,8.1,1,1.8554252896624073,3,3,1
3675,26022025,4.9,3,1.3015860182106598,2,5,1
1828,45562030,8.1,1,1.7176225119271875,12,3,0
109889,7948462,9.0,6,2.132335665414747,19,2,0
11032,29397017,6.1,1,1.136618950784088,0,6,1
188408,16028961,7.0,1,1.355271576062537,14,3,0
95490,29994247,22.5,1,7.7541814153451885,19,4,0
168476,13404398,18.9,1,8.457602772368881,9,0,0
44172,40114893,18.0,6,7.609666654639588,6,2,0
158800,13900876,10.0,5,2.042564188548114,19,6,0
92696,9333043,5.0,1,0.6254664561949922,15,3,0
54443,21021995,5.3,3,1.1074004204113346,9,4,0
13725,18115468,4.9,1,1.2795821928471791,7,1,0
152475,53785687,8.0,2,1.1179113936468426,19,5,0
196272,12821735,33.8,1,9.223570752182118,17,1,0
79016,1929058,10.0,1,4.185850366830022,22,2,1
10008,18266815,8.5,1,2.1301947111096116,20,4,0
56019,18808336,19.0,2,6.744352355123813,18,6,0
100480,43608347,6.5,5,1.196936437852468,12,2,0
26899,44737595,8.0,4,1.2957466951385563,20,4,0
184096,44650721,4.5,1,1.1680492299964214,17,2,0
105408,17047798,11.0,3,2.2790571419084746,13,5,0
31750,35687678,8.5,2,2.9699614325415777,14,5,0
96494,45780134,16.0,1,2.155742042056908,11,1,0
79083,46296438,7.0,1,1.7653162515872223,21,6,0
162877,31599365,5.7,2,1.4546381410547538,16,2,0
54655,20006320,8.5,5,1.5351763471601443,17,2,0
95069,17518093,7.3,3,1.8880550178582027,20,0,0
164866,38602054,6.9,3,3.455809490153193,12,0,0
10032,17585942,6.5,1,1.3404445356107555,13,3,0
88034,15224365,17.5,1,2.1437124496979356,12,4,0
125679,5506122,5.7,1,0.9338502132649914,19,6,0
80416,8172636,12.5,2,4.788564351178235,15,2,0
163301,11922000,9.0,1,0.5107673210194906,0,3,1
156755,30059148,8.5,2,1.3745060902561383,14,5,0
155843,27131408,10.9,1,3.8363257167120257,18,3,0
45203,16504391,22.1,1,9.560557934841931,8,0,0
137593,17637364,3.5,1,0.4794145797627664,20,5,0
80848,27903178,15.7,1,6.557293573642294,18,6,0
126358,13551105,9.7,2,2.4404819141157965,21,4,0
37499,14490697,3.5,1,0.45532706423135877,10,3,0
65422,16849882,8.0,1,3.3380715326365613,18,4,0
5458,50982675,8.1,1,2.308794202964451,21,4,0
163545,41715195,6.9,2,1.9063945801456461,12,3,0
49927,10247512,8.1,1,1.5942059947688216,13,0,0
17875,53006962,9.5,1,0.9502550032258386,8,4,0
66941,3782471,8.5,1,2.4004391664426965,19,4,0
32979,27674024,6.1,2,1.6461265713423499,15,4,0
113148,47486869,5.3,1,1.1487072117239208,18,4,0
93301,16965267,5.5,4,1.6122712897654716,19,6,0
10043,12129910,57.33,5,21.85674274481871,14,4,0
195648,22786510,12.5,1,2.9432376745652595,13,5,0
54619,4338024,12.0,1,2.4061472463515954,13,2,0
153225,10531204,12.1,1,4.502850721520576,20,4,0
159898,4081334,5.7,1,1.0377121012140362,18,5,0
129003,19901215,9.3,1,4.711452938671647,13,5,0
66492,34490116,10.1,1,0.7105153653288669,12,2,0
199766,44521434,7.7,1,1.9798039046421945,19,2,0
113979,3716836,8.9,1,1.0942493124951478,9,3,0
94203,42133872,10.1,1,3.1065645024625104,17,5,0
98002,25832974,11.3,2,3.7626360820588807,20,5,0
53343,22048286,6.5,5,1.5943300044189814,19,0,0
189829,51461660,15.3,1,6.457415336327472,22,0,1
39368,9443078,6.5,2,2.6934756808756264,4,6,1
150739,327096,12.0,1,3.4078862863827966,23,4,1
92046,50641407,6.5,2,1.0492267724125532,17,6,0
173286,29944569,35.33,5,10.66280791866255,19,2,0
109584,7224429,9.3,1,4.1787915664662005,22,2,1
190183,31307688,8.9,1,3.7493872211287056,20,2,0
102004,5504644,10.0,3,3.117918082047726,13,5,0
170469,987934,6.1,1,0.6260552201306757,16,4,0
18624,3311191,7.5,1,1.3103344860531914,13,1,0
7642,49894654,8.5,5,3.51422183918307,20,6,0
5476,46895782,16.5,1,4.367017528194731,15,0,0
164812,2968308,7.0,1,2.849609507449651,23,3,1
94779,4332805,10.1,1,2.6582056971061077,21,6,0
143424,1640714,16.0,1,4.515047822614183,13,5,0
174111,48912295,7.3,1,2.57186215431445,22,5,1
2102,31507390,18.5,1,3.9122829399614916,21,0,0
24669,52406918,6.3,2,1.4439438301267629,19,3,0
144051,48988472,16.0,1,4.451677491276635,15,3,0
69062,28187488,28.1,1,7.065099203427431,17,2,0
101232,42968897,8.5,1,1.3740493577135082,14,2,0
116689,48083387,13.0,1,2.637295044623107,8,2,0
22693,3561133,4.0,1,0.8464460652197048,5,3,1
187218,51673158,4.0,1,0.45155010249921307,14,3,0
165470,34610801,4.5,1,0.9267336803324725,17,0,0
95673,19373178,14.9,2,6.394886307813213,2,3,1
16010,37129773,8.9,1,1.8960062212942566,18,3,0
99187,23486831,16.5,1,5.767073387713792,21,4,0
93405,37787106,4.5,1,1.1147439292829027,8,3,0
188062,270098,10.5,1,3.3015189250433115,12,6,0
107972,11445378,12.5,1,4.41517196425253,15,0,0
153540,6240941,8.5,1,1.7935799660391636,14,1,0
43793,41273402,6.0,1,1.1848838804258761,9,2,0
109329,27664733,9.0,1,0.7873591219503632,18,1,0
192043,645591,5.5,2,1.3663864857062518,16,3,0
90863,39814218,10.0,2,0.4021614956010452,17,5,0
63125,48661900,8.1,1,1.1062075365506312,8,4,0
109415,26265270,6.0,2,1.7608953750652663,16,3,0
29,45740211,7.3,5,2.2336962262344073,2,5,1
40104,43000761,5.5,1,1.4507958474929907,16,5,0
45606,13751474,3.3,1,0.7970066474309936,10,5,0
156904,18944509,8.9,1,3.590545511738976,8,3,0
17868,31307887,10.1,3,3.3772736087079553,18,5,0
130903,10799704,11.7,1,5.367036632454956,21,3,0
86083,49948007,29.7,3,11.99390811380439,22,0,1
47138,33168662,6.1,1,1.6751160843243613,23,3,1
10645,1907963,6.5,4,1.7717932958541178,0,0,1
177075,22226807,14.0,1,0.7948493701063509,9,0,0
142510,26558510,6.9,2,1.6225610676448599,12,5,0
150708,4731813,20.1,1,8.642133748301335,1,0,1
157046,31394912,9.0,2,3.270511582594289,23,5,1
54993,35299886,7.0,5,1.3089050984602502,17,3,0
81257,49496658,5.5,1,0.861011984623886,0,6,1
121132,24662657,5.7,2,1.8136346511957273,21,2,0
42392,52342923,5.7,5,1.788714802535205,20,6,0
23784,39362959,6.5,2,1.1125573890974034,18,5,0
176093,45758614,12.1,1,5.0542084778929,22,1,1
19380,1043111,5.7,4,1.3932585426624937,0,5,1
83958,38739863,8.1,1,1.5562053602860393,18,4,0
159955,25171039,28.5,4,11.375988886389495,0,4,1
18698,8551161,8.5,1,2.850668808040594,0,4,1
153091,21531485,7.3,1,1.8664402110099094,7,3,0
139463,9920501,8.0,1,2.103819610508371,17,6,0
74991,45002614,6.5,1,2.3820545325268165,21,3,0
159089,28880529,7.0,1,0.8444209036005842,9,0,0
74007,36796080,5.0,1,1.1355305530790942,3,5,1
108287,36565039,17.0,5,5.230764187285312,13,0,0
48816,26991773,6.9,1,1.4810310838338598,17,6,0
184299,12204574,15.5,1,5.474417030231315,22,6,1
47760,12550289,12.0,1,2.3222047487848845,14,2,0
100389,18968682,6.5,1,1.439473320741483,1,1,1
137696,38367199,15.5,1,2.636177579785055,18,2,0
21607,3099532,10.0,1,2.196125914697611,13,5,0
31435,16446708,20.0,1,8.1549607410756,21,3,0
174115,18050669,6.5,1,1.2751647318469999,13,6,0
127704,25474236,5.3,2,2.2314589372031626,11,6,0
19453,40149002,5.0,1,1.0342700054875633,16,2,0
99728,36637857,5.0,1,0.9095761206403588,5,4,1
157364,12620856,10.9,1,3.7189908097725595,5,5,1
147620,5529817,14.0,3,4.752818069354644,0,4,1
75033,1541054,11.0,4,2.593345667897564,8,1,0
149922,9581115,4.0,1,0.5104559106584122,18,0,0
23511,16234152,12.0,3,4.969555147259747,7,3,0
80315,51087149,12.5,1,3.4061418360469955,9,3,0
36939,53036333,9.7,1,2.8751173744651806,23,5,1
160115,42504406,6.5,1,1.165407473839806,20,2,0
177359,26342054,6.1,1,1.9314844022072006,16,4,0
177857,21952118,5.0,5,1.1893606253597788,11,5,0
148190,18836976,7.0,2,1.4723910621114396,15,0,0
49222,27883721,10.9,4,1.235376801018153,12,2,0
140704,10697857,9.0,1,2.424096592159475,18,0,0
87321,39624240,57.33,1,22.490146048103657,18,0,0
40062,44149017,8.9,1,2.0580956394440046,15,0,0
25654,41790479,6.9,1,2.4336158204565392,19,6,0
172524,12288304,6.5,1,1.1247833844933963,22,6,1
113112,43554574,10.9,1,4.887397337661985,12,6,0
67869,48439644,8.5,4,2.22236554176473,1,6,1
65596,15377842,5.3,1,1.3915947935908288,19,3,0
137029,44921169,8.1,1,1.6056364756812171,17,5,0
124579,22169472,10.0,6,3.6928647780220762,22,3,1
129635,43126560,18.5,1,6.7571888224449586,20,2,0
36699,20385147,20.5,1,6.734646041543214,10,6,0
26420,53156829,22.0,5,6.609133939736977,7,5,0
54139,42940124,6.5,3,2.6655818595717276,14,5,0
138864,51970255,8.5,1,2.2040603834593617,18,3,0
88927,51345438,4.5,1,0.6200618302247568,8,4,0
144113,34032715,7.3,4,2.7634936872163456,1,6,1
31286,47653868,4.5,1,0.9864917178740665,16,4,0
50622,3780206,10.1,1,3.451069000348222,17,0,0
198317,20500529,4.5,1,0.7211220303050371,13,6,0
41921,46250760,3.7,5,1.1134088189130864,23,3,1
123978,29548008,14.0,1,3.4662851880008545,20,2,0
89262,43306045,8.5,1,2.5585539462619664,7,3,0
171063,46096636,4.9,1,1.8278530197631446,19,0,0
176627,8728107,3.7,1,0.6090558931276776,7,6,0
77381,12006276,11.5,1,2.8836036354545413,21,1,0
28735,41368676,25.7,5,8.24509347117605,21,3,0
111533,53935551,11.0,1,1.5145363062314376,21,2,0
152412,34488731,7.5,1,1.9897760607507249,18,4,0
26767,43106117,10.1,2,2.5910971749044562,15,0,0
188192,5434001,5.5,4,0.9102370784519103,20,5,0
188394,27138622,3.0,1,0.41662180309376523,6,1,0
44930,21066081,6.0,1,1.2996277997913874,15,6,0
71619,11441749,6.5,1,1.5535859611694545,19,0,0
101154,26025107,5.7,1,1.8114516805660839,14,1,0
144105,48042599,11.3,1,2.747158708820729,10,4,0
154641,28921465,5.3,1,2.1440581194560813,5,4,1
42823,35238538,6.5,1,2.2730212155182152,18,1,0
28397,16030010,5.3,1,0.7855923193061098,17,2,0
191613,33091466,30.5,1,9.43459745863777,20,3,0
150386,1843840,28.1,1,9.99982898463516,13,3,0
88966,48193000,7.7,1,2.2547808010094177,14,1,0
194428,8836980,8.0,1,0.9403028805212573,13,4,0
82489,32525872,12.9,1,3.1886402356216457,14,6,0
180854,29151837,13.0,1,4.324516765859951,13,6,0
16590,43193439,7.3,3,3.8615545691540096,10,6,0
121338,32495377,5.5,1,1.103691701045751,13,2,0
182744,3602039,11.0,1,3.169371531625279,13,5,0
35551,28393784,21.7,2,8.300393103927686,8,1,0
38491,36979922,28.0,1,12.031632832804373,3,5,1
12692,43893829,6.1,1,2.0592903060000314,6,5,0
168708,13469883,9.7,2,2.049717199809471,14,3,0
104033,50088335,7.0,1,2.2850686051088602,6,0,0
90803,43860559,7.3,5,2.4735743089810542,10,1,0
196600,18276771,20.5,1,7.187922971531516,11,1,0
134896,37513092,5.7,1,1.1018810525642724,12,5,0
84943,48625309,7.3,1,1.836493861402516,8,1,0
11129,49008635,10.5,1,2.0193056405618672,9,3,0
143925,35294145,9.3,1,3.3294258707714257,20,4,0
176033,350714,7.3,1,1.3511552726519784,8,2,0
129944,47896469,6.0,1,1.8499784762928089,0,3,1
87302,39435444,12.5,1,2.7101486763802742,19,2,0
110231,22210743,25.3,1,12.845278350371302,22,0,1
77169,7286298,6.1,1,2.0124868395711952,18,5,0
86679,54238417,28.3,1,9.699591559900991,18,6,0
79041,43048141,14.0,1,3.547448958752687,9,4,0
112117,1595438,8.0,1,1.5400924122809982,11,5,0
180574,26937096,15.0,3,4.132577775760248,11,5,0
128710,5182754,6.5,1,1.390980551486125,8,3,0
70268,41886438,5.0,5,1.057094090974337,21,2,0
29751,30923430,5.3,5,1.1343488253949277,6,1,0
141680,48406789,11.3,1,4.730377578662592,21,1,0
60703,37591508,3.7,1,0.8099615005143955,8,0,0
11077,20925410,10.5,5,2.466001522886471,7,3,0
3568,39672644,15.5,1,3.7748259769519015,9,3,0
134332,15953500,9.5,1,2.1017894863402313,15,2,0
60538,45355085,8.5,1,2.9347522201770393,20,4,0
20202,52115049,30.5,3,9.031736314483165,13,2,0
162590,43050693,22.5,1,8.262808225324179,19,4,0
181111,52424484,4.5,1,0.8866804790915565,18,6,0
96529,8443532,18.0,1,6.4101525999197495,21,1,0
152654,44624723,8.9,1,3.4300604672607062,10,2,0
99932,37643689,18.9,1,5.666148018022356,21,6,0
4763,47768522,6.5,1,1.7343034224345353,18,2,0
46683,14597390,13.3,5,5.3560343063077225,13,3,0
48162,48877411,5.0,3,1.1127461253051805,2,6,1
56766,17670807,6.1,1,1.470109629891478,21,3,0
156781,17970985,33.0,1,11.164058548676483,0,0,1
76088,998993,5.7,2,0.9661152305384816,0,4,1
149304,22222237,5.7,2,1.0635795003994022,2,1,1
164466,21593309,12.5,1,3.2162081823763646,12,0,0
84440,14773168,6.5,5,2.0668341875500054,16,1,0
32577,5826390,4.5,1,0.9254702596581237,19,3,0
3944,35392995,12.0,1,3.035128991492581,11,4,0
150278,55014015,13.5,1,4.374872175557926,12,2,0
138956,11787758,9.0,2,2.2587151432399293,11,0,0
154934,23518933,6.5,5,1.1442692203898839,21,6,0
58241,23983578,5.3,1,1.9140293648926454,18,1,0
116793,11154418,14.5,1,6.316855771153568,3,6,1
150451,31706743,12.9,5,5.238411240446877,4,2,1
193318,13041195,6.9,2,1.3178022645728091,13,6,0
16689,674833,6.1,1,1.3155938974225039,18,0,0
45241,2943960,5.0,1,1.194729249064629,21,6,0
176140,51418206,11.7,2,4.70731957888766,20,1,0
60350,11245339,5.3,1,0.6797979648907003,19,4,0
138297,45832466,11.5,1,2.1207516146347123,13,1,0
166860,43266320,6.0,1,1.3204128236777697,17,0,0
86218,21872372,3.8,1,0.20694784921471815,0,5,1
71345,41035430,4.5,1,0.8681934653080461,12,4,0
175548,26436265,12.1,1,3.986925207650047,12,4,0
121684,30857461,4.5,1,1.11695545121646,1,0,1
48526,10552605,10.5,2,3.779764254806814,23,3,1
161946,21408617,22.6,1,9.2770212694328,22,0,1
88524,9312915,4.5,2,1.2133279164130144,19,5,0
68396,23864569,5.0,1,0.8437619168857197,1,4,1
17866,46918328,4.9,1,1.145444906101884,21,0,0
98300,49318395,11.3,1,3.016947360270957,19,0,0
140629,52346699,9.0,1,3.0653559232220147,4,0,1
88076,21847856,5.3,4,1.6419119047772037,11,5,0
122953,37220986,22.0,1,2.1445160932003553,9,2,0
12224,54844254,7.5,2,2.470414433250861,2,5,1
